id,title,date,authors,affiliations,corresponding_email
40047136,Early Post-Transplant Renal Recovery Trajectory and Trajectory Velocity Functions Are Predictors of Estimated GFR at 1 Year: A Functional Data Analysis Approach.,2025,Wairimu Magua; Octav Cristea; Emily M Eichenberger; Geeta M Karadkhele; Alanna A Morris; Kenneth Newell; Joseph B Rickert; Christian P Larsen,"Division of Transplantation, Department of Surgery, Emory University, Atlanta, Georgia, USA.; Division of Transplantation, Department of Surgery, Emory University, Atlanta, Georgia, USA.; Division of Infectious Diseases, Department of Medicine, Emory University, Atlanta, Georgia, USA.; Division of Transplantation, Department of Surgery, Emory University, Atlanta, Georgia, USA.; Department of Medicine, Division of Cardiology, Emory University, Atlanta, Georgia, USA.; Division of Transplantation, Department of Surgery, Emory University, Atlanta, Georgia, USA.; R Consortium, San Diego, California, USA.; Division of Transplantation, Department of Surgery, Emory University, Atlanta, Georgia, USA.",N/A
40047116,Sweet Solutions: Unlocking the Diabetes-Dementia Connection for Better Outcomes.,2025,Emoke Posan,,N/A
40047102,Association of Podometrics Findings in Patients With Hypertension and Type 2 Diabetes: A Retrospective Analysis.,2025,Christopher Paschen; Maximilian C Koeller; Helga Schachner; Maja Nackenhorst; Johannes Kläger; Andre Oszwald; Katharina Dörr; Michael Kammer; Nicolas Kozakowski; Andrew Rees; Renate Kain; Manfred Hecking; Rainer Oberbauer; Heinz Regele,"Division of Nephrology and Dialysis, Department of Medicine III (C.P., K.D., M.K., M.H., R.O.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Division of Nephrology and Dialysis, Department of Medicine III (C.P., K.D., M.K., M.H., R.O.), Medical University of Vienna, Austria.; Division of Nephrology and Dialysis, Department of Medicine III (C.P., K.D., M.K., M.H., R.O.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.; Division of Nephrology and Dialysis, Department of Medicine III (C.P., K.D., M.K., M.H., R.O.), Medical University of Vienna, Austria.; Division of Nephrology and Dialysis, Department of Medicine III (C.P., K.D., M.K., M.H., R.O.), Medical University of Vienna, Austria.; Department of Pathology (M.C.K., H.S., M.N., J.K., A.O., N.K., A.R., R.K., H.R.), Medical University of Vienna, Austria.",N/A
40047092,Intestinal Luminal Anion Transporters and their Interplay with Gut Microbiome and Inflammation.,2025,Nazim Husain; Anoop Kumar; Arivarasu N Anbazhagan; Ravinder K Gill; Pradeep K Dudeja,"Division of Gastroenterology and Hepatology, Department of Medicine, University of Illinois Chicago, IL, USA.; Division of Gastroenterology and Hepatology, Department of Medicine, University of Illinois Chicago, IL, USA.; Division of Gastroenterology and Hepatology, Department of Medicine, University of Illinois Chicago, IL, USA.; Division of Gastroenterology and Hepatology, Department of Medicine, University of Illinois Chicago, IL, USA.; Division of Gastroenterology and Hepatology, Department of Medicine, University of Illinois Chicago, IL, USA.",N/A
40047028,[A modern perspective on the pathogenesis of proliferative diabetic retinopathy].,2025,R R Fayzrakhmanov; M M Shishkin; S N Saraeva,"National Medical and Surgical Center named after N.I. Pirogov, Moscow, Russia.; National Medical and Surgical Center named after N.I. Pirogov, Moscow, Russia.; National Medical and Surgical Center named after N.I. Pirogov, Moscow, Russia.",N/A
40047021,[Angiographic parameters of the retina after various methods of membrane peeling in the treatment of diabetic maculopathy].,2025,Yu Yusef; V M Filippov; D V Petrachkov; A L Sidamonidze,"Krasnov Research Institute of Eye Diseases, Moscow, Russia.; Krasnov Research Institute of Eye Diseases, Moscow, Russia.; Krasnov Research Institute of Eye Diseases, Moscow, Russia.; Krasnov Research Institute of Eye Diseases, Moscow, Russia.",N/A
40046962,"The mitochondrial dysfunction, alongside the modifiable burden of traditional risk factors, drives the development of early-onset coronary artery disease.",2025,Jonica Campolo; Paola Canale; Gianluca Gazzaniga; Marina Parolini; Emanuela Piccaluga; Irene Bossi; Jacopo Oreglia; Andrea Borghini; Irene Marinaro; Maria Grazia Andreassi,"CNR Institute of Clinical Physiology, ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy.; CNR Institute of Clinical Physiology, Pisa, Italy.; Department of Medical Biotechnology and Translational Medicine, Postgraduate School of Clinical Pharmacology and Toxicology, Università degli Studi di Milano, Milan, Italy.; CNR Institute of Clinical Physiology, ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy.; Interventional Cardiology, ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy.; Interventional Cardiology, ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy.; Interventional Cardiology, ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy.; CNR Institute of Clinical Physiology, Pisa, Italy.; CNR Institute of Clinical Physiology, Pisa, Italy.; CNR Institute of Clinical Physiology, Pisa, Italy.",N/A
40046931,Impact of comorbid burden on global left cardiac function and prediction models for myocardial function damage: a cardiac magnetic resonance feature-tracking study.,2025,XiaoFeng Qu; Miaomiao Bai; Jianbo Lyu; Lili Yin; Jiahui Zhang; Endong Zhao; Lingjun Mei,"Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.; Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.; Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.; Department of International Medical, The Second Hospital of Dalian Medical University, Dalian, China.; Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.; Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.; Department of Radiology, The Second Hospital of Dalian Medical University, Dalian, China.",N/A
40046923,Intravitreal aflibercept for diabetic macular edema: structural and functional improvements.,2025,Chuanhe Zhang; Tianyu Chen; Ru Jia; Di Gong; Zhigao Liu; Changlong Wu; Xiangwen Shu; Fangju Han; Bin Gong,"The First Clinical Medical College, Jinan University, Guangzhou, Guangdong, China.; Medical Affairs Department, Wuxi Second People's Hospital, Wuxi, Jiangsu, China.; Department of Ophthalmology, Jinan Second People's Hospital, Jinan, Shandong, China.; Shenzhen Eye Hospital, Jinan University, Shenzhen Eye Institute, Shenzhen, Guangdong, China.; Department of Ophthalmology, Jinan Aier Eye Hospital, Jinan, Shandong, China.; Department of Ophthalmology, Jinan Second People's Hospital, Jinan, Shandong, China.; Department of Ophthalmology, Jinan Second People's Hospital, Jinan, Shandong, China.; Department of Ophthalmology, Jinan Second People's Hospital, Jinan, Shandong, China.; Department of Ophthalmology, Jinan Second People's Hospital, Jinan, Shandong, China.",N/A
40046913,The nonlinear relationship between the ratio of non-high-density lipoprotein cholesterol to high-density lipoprotein cholesterol and the risk of diabetic kidney disease in patients with type 2 diabetes mellitus.,2025,Dan-Xuan Cai; Ye-Hong Huang; Ni-Na Lin; Yun-Feng Zhang; Shu-Qin Huang; Yun Han; Xin-Yu Hu; Song-Tao Cai; Yan-Ling Tao,"Shenzhen Clinical Medical College, Guangzhou University of Chinese Medicine, Shenzhen, China.; Department of Health Management, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Department of Endocrinology, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Department of Science and education, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Hanlin Cheng Community Health Service Center, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Hanlin Cheng Community Health Service Center, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Hanlin Cheng Community Health Service Center, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Hanlin Cheng Community Health Service Center, The Second Affiliated Hospital, School of Medicine, The Chinese University of Hong Kong, Shenzhen & Longgang District People's Hospital of Shenzhen, Shenzhen, China.; Department of Nursing, Longgang Central Hospital of Shenzhen, Shenzhen, China.",N/A
